raw_var,description
ALCOHOL_DRUG_FAM,Ongoing drug/alcohol problems in family
AFRICAN_AMERICAN_BINARY,African American
ANCESTRY_FLAG,PGI Ancestry Flag
ATTACK,Ever been attacked/assaulted
ATTENMO,Time and attention form mother during childhood
BINGE_LIFECOURSE,Ever binged on alcohol
BIRTHMO,Birth month
BIRTHYR,Birth year
BIRTH_PLACE_1.0,Born in New England
BMI,Body Mass Index
CHILDREN_NEG_SUPPORT,Negative support from children
CHILDREN_POS_SUPPORT,Positive support from children
CHLDIED,Ever lost a child
CHMISSCH,Missed more than a month of schoool because of health
CHRONIC_UNEMPLOYMENT,Unemployed for two waves in a row
CHRON_AGE,Chronological Age
CHSMOKE,Smoked before age 16
CIGS_NOW,Number of cigarettes smoked now
CLOSE_CHILDREN,Number of close children
CLOSE_FAMILY,Number of close family
CLOSE_FRIENDS,Number of close friends
COMBAT,Ever fired or been fired at in combat
CONTACT_CHILDREN,Contact frequency with children
CONTACT_FAMILY,Contact frequency with family
CONTACT_FRIENDS,Contact frequency with friends
COWORKER_SUPPORT_CAT,Coworker Support
CURRENTLY_DRINKS,Currently Drinks Alcohol
CURRENTLY_PENSION,Currently Receiving Pension
CURRENTLY_SMOKING_RAND,Currently Smoking
CURRENTLY_WORKING,Currently Working
CURRENT_MARITAL_STATUS,Current Marital Status
CURRENT_MARRIAGE_YRS_RAND,Years in Current Marriage
DAD_AGE_RAND,Father's Current Age / Age at Death
DEGREE,Highest Degree of Education
DENCARE,Ever Been Denied Care
DENLOAN,Ever Been Denied Loan
DENPROM,Ever Been Denied Promotion
DISASTER,Ever experienced a natural disaster
DISCRIMINATION,Perceived Discrimination
DISMJOB,Been undarily dismissed from a job
DNAMGRIMAGE,GRIMAGE
DRINKS_PER_WEEK_RAND,Days per week drinking alcohol
DRKDRUG,Parents with drug/alcohol problems
DRUG,Problems with drugs/alcohol before age 16
DRUGOTH,Spouse or children ever had a drug/alcohol addiction
EAA_DUNEDINMPOA,EAA DUNEDINMPOA
EAA_DUNEDINMPOA_BINARY,EAA DUNEDINMPOA BINARY
EAA_DUNEDINMPOA_TERTILE,EAA DUNEDINMPOA TERTILE
EAA_GRIMAGE,EAA GRIMAGE
EAA_GRIMAGE_BINARY,EAA GRIMAGE BINARY
EAA_GRIMAGE_TERTILE,EAA GRIMAGE TERTILE
EAA_HANNUM,EAA GANNUM
EAA_HORVATH,EAA HORVATH
EAA_LEVINE,EAA LEVINE
EFFMO,Effort from mother during childhood
EVER_DIVORCED,Ever Divorced
EVER_DRANK_RAND,Ever Drank Alcohol
EVER_LIVED_AS_A_COUPLE,Ever Lived as a Couple
EVER_MARRIED,Have You Ever Been
